appid,name,developer,categories,genres,steamspy_tags
215790,Dream Pinball 3D,ASK Homework,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Trading Cards;Steam Cloud,Casual;Simulation,Simulation;Casual;Pinball
215830,Closers,Naddic Games,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Action;Free to Play;Massively Multiplayer;RPG,Anime;Free to Play;Massively Multiplayer
215870,Dungeon-Party,Cyanide Studio,Multi-player,Free to Play;Massively Multiplayer,Free to Play;Massively Multiplayer;Multiplayer
215930,Jagged Alliance 2 - Wildfire,I-deal Games,Single-player;Steam Trading Cards;Steam Cloud,RPG;Strategy,Strategy;RPG;Turn-Based Tactics
216090,Go Home Dinosaurs!,Fire Hose Games,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie;Strategy,Tower Defense;Casual;Strategy
216110,Tiny Troopers,Kukouri,Single-player,Action;Indie;Strategy,Action;Strategy;Indie
216130,Gemini Wars,Camel101 LLC,Single-player;Multi-player;Steam Achievements;Steam Trading Cards,Indie;Strategy,Strategy;Indie;Space
216150,MapleStory,Nexon,Single-player;Multi-player;MMO;Co-op;Steam Trading Cards,Casual;Free to Play;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;RPG
216210,Secret Files 3,Animation Arts,Single-player,Adventure,Adventure;Point & Click;Female Protagonist
216260,Don Bradman Cricket 14,Big Ant Studios,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Indie;Simulation;Sports,Sports;Simulation;Indie
216290,Gateways,Smudged Cat Games Ltd,Single-player;Steam Achievements;Full controller support,Indie,Indie;Puzzle;Platformer
216670,Great Big War Game,Rubicon Development,Single-player;Multi-player;Cross-Platform Multiplayer,Indie;Strategy,Strategy;Indie;Turn-Based Strategy
216890,Blood Bowl: Chaos Edition,Cyanide Studios,Single-player;Multi-player,Sports;Strategy,Sports;Strategy;Board Game
216910,Of Orcs And Men,Cyanide Studio - Spiders Studios,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;RPG,RPG;Fantasy;Action
216930,Luxor: Amun Rising HD,MumboJumbo,Single-player,Casual,Casual;Match 3;Puzzle
217120,Waves 2,Squid In A Box Ltd,Single-player;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie;Early Access,Early Access;Indie;Casual
217140,Rise of the Triad,Slipgate Ironworks™,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards;Includes level editor,Action,FPS;Action;Fast-Paced
217200,Worms Armageddon,Team17 Digital Ltd,Single-player;Multi-player;Co-op;Shared/Split Screen,Strategy,Strategy;Multiplayer;Classic
217270,Karateka,Liquid Entertainment,Single-player,Action;Indie,Action;Indie;Fighting
217290,Din's Curse,Soldak Entertainment,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Trading Cards,Action;Indie;RPG,RPG;Indie;Action
